Analyzing public/assets/water_deity_unit_final.png...
------------------------------
Found 810 potential white blobs.
Image Size: 1248x832
Listing Blobs > 10px:
Blob #1: Area=14 px. Center=(974,12). Box=[x=970, y=12, w=10, h=2]
Blob #88: Area=12 px. Center=(618,146). Box=[x=618, y=143, w=4, h=8]
Blob #92: Area=18 px. Center=(1072,152). Box=[x=1070, y=149, w=5, h=7]
Blob #96: Area=11 px. Center=(415,153). Box=[x=414, y=152, w=3, h=5]
Blob #97: Area=13 px. Center=(624,157). Box=[x=622, y=152, w=7, h=12]
Blob #103: Area=20 px. Center=(966,158). Box=[x=962, y=156, w=10, h=5]
Blob #104: Area=45 px. Center=(1078,170). Box=[x=1075, y=157, w=9, h=31]
Blob #107: Area=29 px. Center=(342,167). Box=[x=338, y=164, w=10, h=7]
Blob #108: Area=56 px. Center=(692,172). Box=[x=685, y=166, w=14, h=15]
Blob #110: Area=12 px. Center=(734,166). Box=[x=732, y=166, w=6, h=2]
Blob #111: Area=45 px. Center=(545,175). Box=[x=544, y=168, w=4, h=17]
Blob #115: Area=1269 px. Center=(583,204). Box=[x=565, y=173, w=39, h=63]
Blob #122: Area=167 px. Center=(719,193). Box=[x=714, y=179, w=10, h=29]
Blob #124: Area=11 px. Center=(587,184). Box=[x=585, y=181, w=5, h=8]
Blob #127: Area=37 px. Center=(779,192). Box=[x=778, y=183, w=5, h=17]
Blob #129: Area=1169 px. Center=(643,218). Box=[x=615, y=186, w=54, h=57]
Blob #130: Area=17 px. Center=(695,187). Box=[x=693, y=186, w=7, h=4]
Blob #131: Area=55 px. Center=(1027,192). Box=[x=1025, y=187, w=7, h=11]
Blob #133: Area=16 px. Center=(748,189). Box=[x=747, y=188, w=4, h=5]
Blob #136: Area=55 px. Center=(1041,200). Box=[x=1040, y=191, w=4, h=19]
Blob #138: Area=23 px. Center=(631,198). Box=[x=627, y=195, w=9, h=9]
Blob #142: Area=22 px. Center=(798,199). Box=[x=794, y=197, w=11, h=7]
Blob #146: Area=42 px. Center=(1084,208). Box=[x=1082, y=199, w=5, h=19]
Blob #157: Area=21 px. Center=(605,216). Box=[x=605, y=211, w=2, h=11]
Blob #159: Area=36 px. Center=(765,212). Box=[x=761, y=210, w=10, h=7]
Blob #162: Area=17 px. Center=(724,214). Box=[x=721, y=213, w=8, h=5]
Blob #164: Area=58 px. Center=(572,225). Box=[x=567, y=217, w=15, h=21]
Blob #168: Area=14 px. Center=(712,221). Box=[x=708, y=219, w=10, h=6]
Blob #169: Area=37 px. Center=(1020,225). Box=[x=1018, y=222, w=7, h=9]
Blob #173: Area=15 px. Center=(526,229). Box=[x=526, y=227, w=4, h=7]
Blob #174: Area=111 px. Center=(694,237). Box=[x=683, y=226, w=24, h=26]
Blob #175: Area=12 px. Center=(729,232). Box=[x=726, y=229, w=8, h=7]
Blob #176: Area=20 px. Center=(1003,233). Box=[x=1001, y=231, w=5, h=7]
Blob #177: Area=46 px. Center=(1021,236). Box=[x=1015, y=231, w=12, h=14]
Blob #181: Area=11 px. Center=(707,235). Box=[x=706, y=234, w=4, h=4]
Blob #187: Area=52 px. Center=(709,244). Box=[x=696, y=240, w=24, h=13]
Blob #188: Area=18 px. Center=(756,241). Box=[x=752, y=240, w=11, h=3]
Blob #189: Area=22 px. Center=(581,245). Box=[x=579, y=242, w=5, h=7]
Blob #193: Area=15 px. Center=(864,246). Box=[x=859, y=245, w=13, h=4]
Blob #194: Area=18 px. Center=(597,249). Box=[x=596, y=246, w=4, h=7]
Blob #198: Area=712 px. Center=(543,269). Box=[x=525, y=251, w=43, h=40]
Blob #204: Area=26 px. Center=(722,259). Box=[x=719, y=255, w=9, h=10]
Blob #205: Area=25 px. Center=(612,257). Box=[x=610, y=256, w=7, h=7]
Blob #207: Area=11 px. Center=(821,259). Box=[x=820, y=257, w=3, h=6]
Blob #208: Area=11 px. Center=(237,262). Box=[x=236, y=259, w=4, h=8]
Blob #209: Area=13 px. Center=(655,262). Box=[x=650, y=258, w=12, h=9]
Blob #210: Area=15 px. Center=(640,264). Box=[x=639, y=261, w=4, h=8]
Blob #211: Area=20 px. Center=(838,265). Box=[x=838, y=260, w=2, h=12]
Blob #214: Area=46 px. Center=(265,275). Box=[x=258, y=266, w=17, h=22]
Blob #215: Area=49 px. Center=(689,268). Box=[x=681, y=267, w=17, h=6]
Blob #216: Area=11 px. Center=(950,268). Box=[x=948, y=267, w=5, h=3]
Blob #217: Area=47 px. Center=(228,277). Box=[x=223, y=269, w=12, h=17]
Blob #218: Area=344 px. Center=(610,286). Box=[x=597, y=269, w=29, h=36]
Blob #220: Area=466 px. Center=(650,282). Box=[x=624, y=268, w=49, h=34]
Blob #226: Area=22 px. Center=(740,275). Box=[x=736, y=273, w=10, h=6]
Blob #229: Area=28 px. Center=(214,281). Box=[x=214, y=276, w=3, h=12]
Blob #233: Area=29 px. Center=(669,283). Box=[x=668, y=279, w=4, h=9]
Blob #242: Area=29 px. Center=(728,286). Box=[x=722, y=284, w=14, h=5]
Blob #245: Area=33 px. Center=(245,298). Box=[x=238, y=293, w=15, h=14]
Blob #247: Area=13 px. Center=(656,297). Box=[x=655, y=296, w=4, h=5]
Blob #248: Area=23 px. Center=(955,300). Box=[x=948, y=297, w=17, h=7]
Blob #249: Area=17 px. Center=(1038,297). Box=[x=1035, y=297, w=8, h=3]
Blob #253: Area=17 px. Center=(1086,299). Box=[x=1083, y=298, w=8, h=3]
Blob #257: Area=15 px. Center=(687,306). Box=[x=684, y=303, w=7, h=8]
Blob #270: Area=21 px. Center=(724,310). Box=[x=720, y=309, w=9, h=4]
Blob #275: Area=37 px. Center=(222,319). Box=[x=219, y=314, w=6, h=12]
Blob #276: Area=20 px. Center=(986,318). Box=[x=983, y=316, w=9, h=6]
Blob #278: Area=40 px. Center=(962,328). Box=[x=954, y=321, w=21, h=17]
Blob #279: Area=38 px. Center=(753,328). Box=[x=750, y=322, w=8, h=13]
Blob #280: Area=86 px. Center=(1157,332). Box=[x=1149, y=324, w=16, h=21]
Blob #281: Area=53 px. Center=(242,331). Box=[x=236, y=326, w=13, h=14]
Blob #285: Area=205 px. Center=(1093,339). Box=[x=1070, y=329, w=44, h=23]
Blob #289: Area=24 px. Center=(641,337). Box=[x=639, y=333, w=7, h=8]
Blob #290: Area=50 px. Center=(857,336). Box=[x=853, y=333, w=10, h=8]
Blob #292: Area=32 px. Center=(1059,335). Box=[x=1053, y=333, w=12, h=6]
Blob #294: Area=32 px. Center=(739,339). Box=[x=737, y=336, w=7, h=8]
Blob #296: Area=31 px. Center=(1025,337). Box=[x=1021, y=336, w=9, h=5]
Blob #297: Area=15 px. Center=(655,343). Box=[x=652, y=339, w=9, h=10]
Blob #299: Area=17 px. Center=(205,345). Box=[x=205, y=341, w=3, h=10]
Blob #300: Area=18 px. Center=(222,345). Box=[x=222, y=340, w=3, h=11]
Blob #306: Area=12 px. Center=(552,350). Box=[x=552, y=348, w=3, h=5]
Blob #309: Area=31 px. Center=(671,354). Box=[x=669, y=350, w=7, h=9]
Blob #310: Area=465 px. Center=(1128,376). Box=[x=1117, y=350, w=27, h=60]
Blob #313: Area=27 px. Center=(932,358). Box=[x=926, y=353, w=14, h=12]
Blob #317: Area=73 px. Center=(223,365). Box=[x=220, y=358, w=8, h=16]
Blob #318: Area=40 px. Center=(416,363). Box=[x=412, y=358, w=10, h=12]
Blob #321: Area=40 px. Center=(847,361). Box=[x=842, y=358, w=11, h=9]
Blob #325: Area=42 px. Center=(370,372). Box=[x=368, y=364, w=6, h=18]
Blob #328: Area=19 px. Center=(871,372). Box=[x=869, y=369, w=7, h=7]
Blob #329: Area=12 px. Center=(246,371). Box=[x=245, y=370, w=4, h=4]
Blob #330: Area=17 px. Center=(675,375). Box=[x=674, y=373, w=5, h=5]
Blob #334: Area=15 px. Center=(191,378). Box=[x=190, y=377, w=4, h=5]
Blob #338: Area=26 px. Center=(636,379). Box=[x=632, y=377, w=12, h=7]
Blob #340: Area=11 px. Center=(721,378). Box=[x=721, y=376, w=3, h=6]
Blob #347: Area=48 px. Center=(399,390). Box=[x=396, y=384, w=7, h=15]
Blob #357: Area=12 px. Center=(612,392). Box=[x=612, y=389, w=3, h=7]
Blob #360: Area=21 px. Center=(635,394). Box=[x=634, y=390, w=4, h=9]
Blob #361: Area=114 px. Center=(1106,417). Box=[x=1100, y=390, w=11, h=51]
Blob #372: Area=17 px. Center=(360,403). Box=[x=359, y=399, w=4, h=10]
Blob #376: Area=21 px. Center=(678,407). Box=[x=671, y=406, w=13, h=5]
Blob #377: Area=92 px. Center=(311,418). Box=[x=307, y=410, w=10, h=18]
Blob #386: Area=31 px. Center=(887,417). Box=[x=884, y=412, w=8, h=11]
Blob #391: Area=13 px. Center=(732,417). Box=[x=731, y=414, w=5, h=8]
Blob #395: Area=13 px. Center=(1152,420). Box=[x=1151, y=417, w=4, h=8]
Blob #402: Area=12 px. Center=(453,426). Box=[x=452, y=425, w=5, h=5]
Blob #403: Area=25 px. Center=(699,427). Box=[x=695, y=425, w=10, h=7]
Blob #409: Area=21 px. Center=(729,431). Box=[x=722, y=431, w=14, h=3]
Blob #412: Area=17 px. Center=(618,438). Box=[x=614, y=436, w=9, h=7]
Blob #413: Area=12 px. Center=(793,438). Box=[x=791, y=436, w=6, h=5]
Blob #415: Area=43 px. Center=(709,446). Box=[x=706, y=438, w=8, h=16]
Blob #424: Area=209 px. Center=(625,462). Box=[x=606, y=444, w=34, h=40]
Blob #425: Area=72 px. Center=(677,455). Box=[x=672, y=445, w=13, h=24]
Blob #426: Area=43 px. Center=(771,451). Box=[x=766, y=445, w=13, h=15]
Blob #427: Area=48 px. Center=(864,448). Box=[x=851, y=445, w=31, h=9]
Blob #430: Area=138 px. Center=(1107,471). Box=[x=1099, y=450, w=18, h=35]
Blob #431: Area=11 px. Center=(402,452). Box=[x=400, y=452, w=6, h=4]
Blob #435: Area=53 px. Center=(768,464). Box=[x=757, y=456, w=20, h=18]
Blob #439: Area=28 px. Center=(1134,463). Box=[x=1131, y=458, w=7, h=12]
Blob #442: Area=28 px. Center=(288,468). Box=[x=285, y=462, w=9, h=15]
Blob #443: Area=13 px. Center=(711,465). Box=[x=710, y=463, w=4, h=7]
Blob #445: Area=35 px. Center=(752,465). Box=[x=748, y=462, w=8, h=9]
Blob #448: Area=32 px. Center=(716,474). Box=[x=715, y=465, w=4, h=18]
Blob #450: Area=340 px. Center=(646,485). Box=[x=627, y=466, w=43, h=40]
Blob #459: Area=20 px. Center=(975,478). Box=[x=972, y=474, w=8, h=10]
Blob #460: Area=17 px. Center=(271,485). Box=[x=265, y=480, w=12, h=12]
Blob #462: Area=12 px. Center=(559,485). Box=[x=558, y=483, w=4, h=7]
Blob #463: Area=16 px. Center=(789,485). Box=[x=786, y=482, w=8, h=7]
Blob #466: Area=20 px. Center=(593,486). Box=[x=589, y=484, w=8, h=5]
Blob #468: Area=56 px. Center=(734,499). Box=[x=722, y=484, w=23, h=29]
Blob #471: Area=119 px. Center=(588,502). Box=[x=578, y=486, w=26, h=32]
Blob #476: Area=233 px. Center=(1071,501). Box=[x=1036, y=490, w=63, h=30]
Blob #478: Area=24 px. Center=(715,498). Box=[x=711, y=493, w=8, h=10]
Blob #481: Area=49 px. Center=(658,503). Box=[x=655, y=494, w=9, h=23]
Blob #484: Area=32 px. Center=(557,501). Box=[x=555, y=497, w=6, h=9]
Blob #485: Area=19 px. Center=(710,500). Box=[x=707, y=497, w=8, h=8]
Blob #486: Area=11 px. Center=(1175,498). Box=[x=1174, y=496, w=3, h=6]
Blob #487: Area=36 px. Center=(933,508). Box=[x=930, y=499, w=9, h=21]
Blob #488: Area=179 px. Center=(173,525). Box=[x=170, y=500, w=10, h=41]
Blob #490: Area=203 px. Center=(248,510). Box=[x=230, y=501, w=33, h=25]
Blob #491: Area=17 px. Center=(580,503). Box=[x=577, y=501, w=7, h=5]
Blob #494: Area=35 px. Center=(878,502). Box=[x=873, y=500, w=13, h=6]
Blob #495: Area=21 px. Center=(901,504). Box=[x=899, y=500, w=7, h=11]
Blob #498: Area=138 px. Center=(659,516). Box=[x=652, y=503, w=17, h=27]
Blob #499: Area=35 px. Center=(1012,505). Box=[x=1008, y=502, w=10, h=8]
Blob #503: Area=22 px. Center=(643,507). Box=[x=641, y=506, w=6, h=5]
Blob #504: Area=34 px. Center=(652,512). Box=[x=649, y=506, w=6, h=14]
Blob #506: Area=34 px. Center=(1105,511). Box=[x=1099, y=507, w=15, h=9]
Blob #515: Area=90 px. Center=(823,525). Box=[x=818, y=517, w=14, h=20]
Blob #516: Area=72 px. Center=(1002,522). Box=[x=996, y=516, w=11, h=15]
Blob #518: Area=18 px. Center=(267,521). Box=[x=262, y=518, w=11, h=7]
Blob #520: Area=344 px. Center=(135,552). Box=[x=110, y=521, w=52, h=54]
Blob #521: Area=26 px. Center=(1065,523). Box=[x=1059, y=521, w=12, h=7]
Blob #526: Area=40 px. Center=(1075,526). Box=[x=1068, y=523, w=15, h=11]
Blob #527: Area=32 px. Center=(1159,525). Box=[x=1156, y=522, w=7, h=7]
Blob #528: Area=279 px. Center=(805,539). Box=[x=775, y=525, w=60, h=27]
Blob #531: Area=79 px. Center=(544,539). Box=[x=543, y=527, w=4, h=26]
Blob #532: Area=76 px. Center=(866,541). Box=[x=859, y=530, w=15, h=21]
Blob #535: Area=14 px. Center=(1038,533). Box=[x=1036, y=532, w=7, h=3]
Blob #536: Area=54 px. Center=(190,537). Box=[x=182, y=535, w=19, h=5]
Blob #541: Area=11 px. Center=(1037,539). Box=[x=1036, y=539, w=4, h=3]
Blob #545: Area=135 px. Center=(1011,546). Box=[x=1002, y=541, w=22, h=13]
Blob #546: Area=23 px. Center=(214,548). Box=[x=207, y=545, w=17, h=8]
Blob #548: Area=149 px. Center=(646,555). Box=[x=638, y=544, w=20, h=27]
Blob #549: Area=19 px. Center=(819,551). Box=[x=816, y=545, w=10, h=11]
Blob #553: Area=73 px. Center=(481,564). Box=[x=475, y=546, w=15, h=39]
Blob #556: Area=15 px. Center=(872,554). Box=[x=870, y=553, w=6, h=4]
Blob #560: Area=55 px. Center=(1020,560). Box=[x=1016, y=557, w=10, h=7]
Blob #561: Area=12 px. Center=(1075,557). Box=[x=1072, y=556, w=7, h=3]
Blob #565: Area=37 px. Center=(874,560). Box=[x=871, y=558, w=12, h=8]
Blob #568: Area=13 px. Center=(343,562). Box=[x=337, y=562, w=13, h=1]
Blob #570: Area=62 px. Center=(972,568). Box=[x=963, y=563, w=20, h=14]
Blob #572: Area=352 px. Center=(869,602). Box=[x=831, y=565, w=73, h=64]
Blob #574: Area=22 px. Center=(952,568). Box=[x=950, y=565, w=7, h=6]
Blob #575: Area=85 px. Center=(1036,568). Box=[x=1026, y=565, w=20, h=8]
Blob #581: Area=197 px. Center=(96,587). Box=[x=71, y=573, w=53, h=40]
Blob #585: Area=43 px. Center=(287,582). Box=[x=280, y=577, w=16, h=11]
Blob #595: Area=17 px. Center=(1089,585). Box=[x=1087, y=584, w=6, h=5]
Blob #597: Area=19 px. Center=(927,596). Box=[x=927, y=587, w=1, h=19]
Blob #598: Area=12 px. Center=(1047,589). Box=[x=1046, y=587, w=4, h=6]
Blob #599: Area=24 px. Center=(206,590). Box=[x=202, y=588, w=12, h=6]
Blob #604: Area=11 px. Center=(505,590). Box=[x=500, y=590, w=11, h=1]
Blob #608: Area=83 px. Center=(545,606). Box=[x=539, y=592, w=19, h=26]
Blob #613: Area=121 px. Center=(654,603). Box=[x=643, y=594, w=20, h=18]
Blob #631: Area=488 px. Center=(849,622). Box=[x=835, y=602, w=28, h=37]
Blob #632: Area=174 px. Center=(871,636). Box=[x=855, y=603, w=25, h=57]
Blob #633: Area=73 px. Center=(333,613). Box=[x=323, y=604, w=24, h=19]
Blob #638: Area=26 px. Center=(885,609). Box=[x=883, y=605, w=7, h=10]
Blob #640: Area=170 px. Center=(75,617). Box=[x=58, y=606, w=39, h=24]
Blob #645: Area=83 px. Center=(385,617). Box=[x=377, y=608, w=16, h=20]
Blob #647: Area=107 px. Center=(1144,618). Box=[x=1136, y=608, w=23, h=18]
Blob #650: Area=11 px. Center=(678,617). Box=[x=678, y=612, w=1, h=11]
Blob #655: Area=38 px. Center=(321,619). Box=[x=313, y=618, w=16, h=6]
Blob #660: Area=11 px. Center=(471,626). Box=[x=471, y=621, w=1, h=11]
Blob #669: Area=182 px. Center=(236,644). Box=[x=217, y=627, w=38, h=34]
Blob #670: Area=86 px. Center=(355,635). Box=[x=351, y=626, w=9, h=21]
Blob #672: Area=47 px. Center=(889,635). Box=[x=883, y=627, w=15, h=22]
Blob #673: Area=26 px. Center=(909,633). Box=[x=907, y=627, w=5, h=13]
Blob #675: Area=17 px. Center=(1097,629). Box=[x=1093, y=627, w=10, h=6]
Blob #676: Area=37 px. Center=(647,635). Box=[x=646, y=630, w=4, h=13]
Blob #690: Area=26 px. Center=(501,644). Box=[x=498, y=641, w=7, h=7]
Blob #691: Area=52 px. Center=(331,647). Box=[x=327, y=644, w=11, h=8]
Blob #694: Area=136 px. Center=(195,659). Box=[x=179, y=648, w=33, h=25]
Blob #696: Area=111 px. Center=(264,659). Box=[x=256, y=655, w=18, h=10]
Blob #703: Area=23 px. Center=(727,659). Box=[x=723, y=658, w=10, h=4]
Blob #704: Area=51 px. Center=(759,663). Box=[x=753, y=659, w=17, h=7]
Blob #706: Area=32 px. Center=(348,666). Box=[x=346, y=663, w=6, h=7]
Blob #707: Area=27 px. Center=(377,665). Box=[x=375, y=663, w=7, h=6]
Blob #711: Area=151 px. Center=(271,673). Box=[x=260, y=666, w=23, h=21]
Blob #712: Area=34 px. Center=(360,667). Box=[x=352, y=666, w=18, h=6]
Blob #713: Area=30 px. Center=(327,672). Box=[x=325, y=669, w=6, h=8]
Blob #714: Area=116 px. Center=(303,677). Box=[x=299, y=670, w=11, h=18]
Blob #718: Area=25 px. Center=(779,672). Box=[x=775, y=670, w=9, h=6]
Blob #719: Area=82 px. Center=(992,681). Box=[x=986, y=670, w=17, h=23]
Blob #721: Area=155 px. Center=(811,695). Box=[x=795, y=679, w=29, h=34]
Blob #723: Area=322 px. Center=(317,701). Box=[x=311, y=684, w=16, h=36]
Blob #725: Area=236 px. Center=(283,706). Box=[x=264, y=687, w=44, h=40]
Blob #728: Area=15 px. Center=(479,694). Box=[x=478, y=691, w=5, h=7]
Blob #733: Area=14 px. Center=(299,699). Box=[x=299, y=696, w=2, h=8]
Blob #735: Area=11 px. Center=(954,698). Box=[x=953, y=696, w=4, h=7]
Blob #736: Area=23 px. Center=(492,701). Box=[x=490, y=700, w=6, h=5]
Blob #740: Area=42 px. Center=(416,718). Box=[x=414, y=714, w=7, h=9]
Blob #744: Area=58 px. Center=(323,728). Box=[x=319, y=721, w=11, h=16]
Blob #745: Area=16 px. Center=(451,722). Box=[x=449, y=720, w=5, h=7]
Blob #746: Area=22 px. Center=(471,725). Box=[x=469, y=721, w=5, h=9]
Blob #747: Area=50 px. Center=(938,725). Box=[x=933, y=721, w=12, h=10]
Blob #748: Area=39 px. Center=(437,729). Box=[x=436, y=722, w=5, h=14]
Blob #753: Area=110 px. Center=(316,735). Box=[x=309, y=727, w=17, h=22]
Blob #756: Area=298 px. Center=(806,748). Box=[x=769, y=730, w=64, h=37]
Blob #757: Area=11 px. Center=(871,731). Box=[x=870, y=730, w=5, h=4]
Blob #760: Area=39 px. Center=(550,738). Box=[x=547, y=735, w=8, h=8]
Blob #764: Area=270 px. Center=(534,762). Box=[x=509, y=743, w=49, h=33]
Blob #767: Area=70 px. Center=(985,747). Box=[x=978, y=742, w=16, h=12]
Blob #769: Area=135 px. Center=(837,753). Box=[x=819, y=746, w=39, h=16]
Blob #777: Area=238 px. Center=(996,771). Box=[x=963, y=752, w=57, h=40]
Blob #778: Area=46 px. Center=(384,762). Box=[x=378, y=757, w=13, h=15]
Blob #779: Area=136 px. Center=(647,768). Box=[x=642, y=759, w=15, h=18]
Blob #781: Area=18 px. Center=(744,763). Box=[x=742, y=758, w=7, h=12]
Blob #782: Area=29 px. Center=(805,762). Box=[x=799, y=761, w=13, h=3]
Blob #784: Area=36 px. Center=(342,767). Box=[x=339, y=765, w=8, h=7]
Blob #787: Area=100 px. Center=(892,773). Box=[x=882, y=766, w=19, h=14]
Blob #789: Area=171 px. Center=(579,778). Box=[x=559, y=774, w=49, h=10]
Blob #790: Area=22 px. Center=(515,781). Box=[x=508, y=780, w=15, h=5]
Blob #794: Area=67 px. Center=(742,788). Box=[x=735, y=784, w=16, h=9]
Blob #795: Area=124 px. Center=(567,792). Box=[x=555, y=787, w=27, h=11]
Blob #796: Area=29 px. Center=(538,790). Box=[x=535, y=789, w=9, h=5]
Blob #798: Area=107 px. Center=(762,801). Box=[x=753, y=797, w=20, h=10]
Blob #805: Area=29 px. Center=(709,809). Box=[x=702, y=804, w=16, h=13]
Blob #806: Area=49 px. Center=(875,810). Box=[x=869, y=809, w=14, h=5]
------------------------------
